scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 10 5 100 100 599228 702364 849073 1149781 718562.860 70210.108
pastau proto reg 0 10 5 100 100 76629 85480 107639 136339 87479.140 10133.595
pastau proto auth 0 10 5 100 100 4064191 4291617 4596631 4873136 4309470.370 161077.716
pastau proto update 0 10 5 100 100 3974243 4275457 4736759 5936747 4351614.530 265574.588
pastau prim top_hash_to_point 0 0 0 100 100 5419 5472 5508 5554 5470.550 21.488
pastau prim top_encode 0 0 0 100 100 26252 26368 26635 32369 26476.490 695.253
pastau prim top_eval_share 0 0 0 100 100 20816 22127 23852 30146 22174.710 1303.526
pastau prim hash_hi_one 0 0 0 100 100 74 76 77 165 76.710 9.110
pastau prim aead_encrypt_sig 0 0 0 100 100 1083 1089 1097 1144 1090.470 6.838
pastau prim aead_decrypt_sig 0 0 0 100 100 1088 1094 1101 1119 1094.230 4.521
pastau prim aead_encrypt_update 0 0 0 100 100 1079 1087 1100 1159 1088.270 9.202
pastau prim aead_decrypt_update 0 0 0 100 100 1060 1074 1090 1101 1074.460 8.394
pastau prim ttg_hash_to_g1 0 0 0 100 100 213118 217666 231673 245834 218652.980 5890.021
pastau prim ttg_part_eval 0 0 0 100 100 410025 435452 493218 577253 441900.690 26819.908
pastau prim ttg_verify 0 0 0 100 100 2084776 2216346 2380750 2836112 2229297.920 86039.618
pastau prim top_combine_t 0 10 5 100 100 119857 120221 139249 158501 123808.840 7087.094
pastau prim hash_hi_all_n 0 10 5 100 100 655 661 693 702 666.850 11.328
pastau prim update_payload_encrypt_all_n 0 10 5 100 100 10774 10810 10850 10908 10811.890 19.864
pastau prim ttg_combine_t 0 10 5 100 100 1142904 1211133 1403642 1535088 1228039.680 67868.376
